公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
301,东方市场,江苏吴江中国东方丝绸市场股份有限公司,"Jiangsu Wujiang China Eastern Silk Market Co.,Ltd",江苏省吴江市盛泽镇市场路丝绸股份大厦,301,东方市场,2000-05-29,1218236445,1218236445,,,,0,0,华东,江苏,苏州市,D 水电煤气,www.cesm.com.cn
338,潍柴动力,潍柴动力股份有限公司,"Weichai Power Co., Ltd.",山东省潍坊市高新技术产业开发区福寿东街197号甲,338,潍柴动力,2007-04-30,1513549639,829328126,,,,0,0,华东,山东,潍坊市,C 制造业,www.weichai.com
400,许继电气,许继电气股份有限公司,"XJ ELECTRIC CO.,LTD",河南省许昌市许继大道1298号,400,许继电气,1997-04-18,491753600,370380300,,,,0,0,华中,河南,许昌市,C 制造业,www.xjec.com
401,冀东水泥,唐山冀东水泥股份有限公司,"TANGSHAN JIDONG CEMENT CO.,LTD",河北省唐山市丰润区林荫路,401,冀东水泥,1996-06-14,1347522914,1212274171,,,,0,0,华北,河北,唐山市,C 制造业,www.jdsn.com.cn
402,金 融 街,金融街控股股份有限公司,"FINANCIAL STREET HOLDINGS CO., LTD.",北京市西城区金融大街丙17号北京银行大厦11层,402,金 融 街,1996-06-26,3027079809,3025372162,,,,0,0,华北,北京,北京市,K 房地产,www.jrjkg.com
403,*ST生化,振兴生化股份有限公司,"Zhenxing Biopharmaceutical and Chemical Co., Ltd.",山西省太原市长治路227号高新国际大厦16层,403,*ST生化,1996-06-28,272577599,162354288,,,,0,0,华北,山西,太原市,C 制造业,www.999yichun.cn
404,华意压缩,华意压缩机股份有限公司,"HUAYI COMPRESSOR CO., LTD",江西省景德镇市高新区长虹大道1号,404,华意压缩,1996-06-19,559623953,324568713,,,,0,0,华东,江西,景德镇市,C 制造业,www.hua-yi.cn
407,胜利股份,山东胜利股份有限公司,"SHANDONG SHENGLI CO., LTD",山东省济南市高新区天辰大街2238号胜利生物工程园,407,胜利股份,1996-07-03,649232044,644901109,,,,0,0,华东,山东,济南市,C 制造业,www.vicome.com
408,金谷源,金谷源控股股份有限公司,"JINGUYUAN HOLDING CO.,LTD",河北省邯郸市峰峰矿区彭城镇彭东街9号,408,金谷源,1996-06-28,252301500,252301500,,,,0,0,华北,河北,邯郸市,F 批发零售,
409,泰复实业,泰复实业股份有限公司,"TAIFU INDUSTRY CO., LTD",安徽省蚌埠市禹会区长乐路400号,409,泰复实业,1996-06-27,472709345,169058884,,,,0,0,华东,安徽,蚌埠市,B 采矿业,
410,沈阳机床,沈阳机床股份有限公司,"SHENYANG MACHINE TOOL CO.,LTD",辽宁省沈阳经济技术开发区开发大路17甲1号,410,沈阳机床,1996-07-18,765470884,538793547,,,,0,0,东北,辽宁,沈阳市,C 制造业,www.smtcl.com
411,英特集团,浙江英特集团股份有限公司,"ZHEJIANG INT’L GROUP CO.,LTD",浙江省杭州市滨江区西兴街道江南大道96号,411,英特集团,1996-07-16,207449946,203638446,,,,0,0,华东,浙江,杭州市,F 批发零售,www.intmedic.com
413,宝 石Ａ,石家庄宝石电子玻璃股份有限公司,"SHIJIAZHUANG BAOSHI ELECTRONIC GLASS CO.,LTD",河北省石家庄市高新技术产业开发区黄河大道9号,413,宝 石Ａ,1996-09-25,803000000,282818885,200413,宝 石Ｂ,1996-07-08,100000000,100000000,华北,河北,石家庄市,C 制造业,
415,渤海租赁,渤海租赁股份有限公司,"BOHAI LEASING CO.,LTD",新疆维吾尔自治区乌鲁木齐市黄河路93号汇通大厦,415,渤海租赁,1996-07-16,1269252972,435422871,,,,0,0,西北,新疆,乌鲁木齐市,L 商务服务,www.bohaileasing.com
416,民生投资,民生投资管理股份有限公司,"Minsheng Investment Management Co.,Ltd",山东省青岛市崂山区株州路151号,416,民生投资,1996-07-19,531871494,531680754,,,,0,0,华东,山东,青岛市,F 批发零售,
417,合肥百货,合肥百货大楼集团股份有限公司,"HEFEI DEPARTMENT STORE GROUP CO.,LTD",安徽省合肥市长江中路150号,417,合肥百货,1996-08-12,779884200,778305399,,,,0,0,华东,安徽,合肥市,F 批发零售,www.hfbh.com.cn
418,小天鹅Ａ,无锡小天鹅股份有限公司,"WUXI LITTLE SWAN CO.,LTD",江苏省无锡国家高新技术开发区汉江路1号,418,小天鹅Ａ,1997-03-28,441451892,351810168,200418,小天鹅Ｂ,1996-07-18,191035872,191035872,华东,江苏,无锡市,C 制造业,www.littleswan.com
419,通程控股,长沙通程控股股份有限公司,"CHANGSHA TONGCHENG HOLDINGS CO.,LTD",湖南省长沙市雨花区劳动西路589号,419,通程控股,1996-08-16,543582655,543289983,,,,0,0,华中,湖南,长沙市,F 批发零售,www.e-tongcheng.com
420,吉林化纤,吉林化纤股份有限公司,"JILIN CHEMICAL FIBRE CO ., LTD",吉林省吉林市昌邑区九站街516-1号,420,吉林化纤,1996-08-02,378257464,318247722,,,,0,0,东北,吉林,吉林市,C 制造业,www.jlcfc.com
421,南京中北,南京中北(集团)股份有限公司,"NANJING ZHONGBEI (GROUP) CO., LTD",江苏省南京市建邺区应天大街927号,421,南京中北,1996-08-06,351684100,351639187,,,,0,0,华东,江苏,南京市,S 综合,www.zhong-bei.com
422,湖北宜化,湖北宜化化工股份有限公司,"HUBEI YIHUA CHEMICAL INDUSTRY CO., LTD",湖北省宜昌市猇亭大道399号,422,湖北宜化,1996-08-15,897866712,873725644,,,,0,0,华中,湖北,宜昌市,C 制造业,www.hbyh.cn
423,东阿阿胶,山东东阿阿胶股份有限公司,"SHAN DONG DONG-E E-JIAO CO., LTD",山东省东阿县阿胶街78号,423,东阿阿胶,1996-07-29,654021537,653784979,,,,0,0,华东,山东,聊城市,C 制造业,www.dongeejiao.com
425,徐工机械,徐工集团工程机械股份有限公司,"XCMG Construction Machinery Co., Ltd.",江苏省徐州经济开发区工业一区,425,徐工机械,1996-08-28,2062758154,2054466511,,,,0,0,华东,江苏,徐州市,C 制造业,www.xcmg.com
426,兴业矿业,内蒙古兴业矿业股份有限公司,"INNER MONGOLIA XINGYE MINING CO.,LTD",内蒙古自治区赤峰市新城区玉龙大街路北、天义路西兴业集团办公楼,426,兴业矿业,1996-08-28,437942869,418731052,,,,0,0,华北,内蒙古,赤峰市,B 采矿业,
428,华天酒店,华天酒店集团股份有限公司,"HUATIAN HOTEL GROUP CO.,LTD.",湖南省长沙市解放东路300号,428,华天酒店,1996-08-08,718926000,718762425,,,,0,0,华中,湖南,长沙市,H 住宿餐饮,www.huatian-hotel.com
429,粤高速Ａ,广东省高速公路发展股份有限公司,"GUANGDONG PROVINCIAL EXPRESSWAY DEVELOPMENT CO.,LTD",广东省广州市白云路85号,429,粤高速Ａ,1998-02-20,908367748,467882422,200429,粤高速Ｂ,1996-08-15,348750000,348747375,华南,广东,广州市,G 运输仓储,www.gpedcl.com
430,张家界,张家界旅游集团股份有限公司,ZHANG JIA JIE TOURISM GROUP CO．LTD,湖南省张家界市南庄坪1号花园,430,张家界,1996-08-29,320835149,167348994,,,,0,0,华中,湖南,张家界市,N 公共环保,www.zjjgf.com.cn
488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,"SHANDONG CHENMING PAPER HOLDINGS CO.,LTD",山东省寿光市圣城街595号,488,晨鸣纸业,2000-11-20,1113278456,1103870029,200488,晨 鸣Ｂ,1997-05-26,557497485,557497485,华东,山东,潍坊市,C 制造业,www.chenmingpaper.com
498,山东路桥,山东高速路桥集团股份有限公司,"SHANDONG HI-SPEED ROAD&BRIDGE CO.,LTD.",山东省济南市经五路330号,498,山东路桥,1997-06-09,1120139063,440605606,,,,0,0,华东,山东,济南市,E 建筑业,
501,鄂武商Ａ,武汉武商集团股份有限公司,WUHAN DEPARTMENT STORE GROUP CO.LTD,湖北省武汉市江汉区解放大道690号,501,鄂武商Ａ,1992-11-20,507248590,507199303,,,,0,0,华中,湖北,武汉市,F 批发零售,www.wushang.com.cn
502,绿景控股,绿景控股股份有限公司,"LVJING HOLDING CO.,LTD",广东省广州市天河区林和中路8号海航大厦35楼05单元,502,绿景控股,1992-11-23,184819607,183012781,,,,0,0,华南,广东,广州市,K 房地产,www.000502.cn
503,海虹控股,海虹企业(控股)股份有限公司,"SEARAINBOW HOLDING CO.,LTD",海南省海口市文华路18号文华大酒店七层,503,海虹控股,1992-11-30,898822204,682778226,,,,0,0,华南,海南,海口市,I 信息技术,www.searainbow.com
504,ST传媒,北京赛迪传媒投资股份有限公司,"BEIJING CCID MEDIA INVESTMENTS CO.,LTD",北京市昌平区科技园区火炬街甲12号,504,ST传媒,1992-12-08,311573901,309877144,,,,0,0,华北,北京,北京市,R 文化传播,www.ccidmedia.com
505,*ST珠江,海南珠江控股股份有限公司,"HAINAN PEARL RIVER HOLDINGS CO.,LTD",海南省海口市珠江广场帝豪大厦29层,505,*ST珠江,1992-12-21,361770404,360373966,200505,*ST珠江B,1995-06-29,64975000,64975000,华南,海南,海口市,K 房地产,
506,中润资源,中润资源投资股份有限公司,ZhongRun Resources Investment Corporation,山东省济南市经十路13777号中润世纪广场17栋,506,中润资源,1993-03-12,929017761,924028332,,,,0,0,华东,山东,济南市,K 房地产,
507,珠海港,珠海港股份有限公司,"ZHUHAI PORT CO., LTD",广东省珠海市九洲大道中1146号5楼,507,珠海港,1993-03-26,789540919,768130797,,,,0,0,华南,广东,珠海市,G 运输仓储,www.0507.com.cn
509,S*ST华塑,华塑控股股份有限公司,"Huasu Holdings CO.,Ltd",四川省南充市涪江路117号,509,S*ST华塑,1993-05-07,250009885,150766778,,,,0,0,西南,四川,南充市,C 制造业,www.000509.com
510,金路集团,四川金路集团股份有限公司,"SICHUAN JINLU GROUP CO., LTD",四川省德阳市岷江西路二段57号金路大厦,510,金路集团,1993-05-07,609182254,609077140,,,,0,0,西南,四川,德阳市,C 制造业,www.jinlugroup.cn
511,银基发展,沈阳银基发展股份有限公司,"SHENYANG INGENIOUS DEVELOPMENT CO.,LTD",辽宁省沈阳市沈河区青年大街109号,511,银基发展,1993-05-18,1154832011,1154821512,,,,0,0,东北,辽宁,沈阳市,K 房地产,www.ingin.com
513,丽珠集团,丽珠医药集团股份有限公司,"LIVZON PHARMACEUTICAL GROUP CO.,LTD",广东省珠海市拱北桂花北路,513,丽珠集团,1993-10-28,183728498,177621074,200513,丽 珠Ｂ,1993-07-20,111993354,111993354,华南,广东,珠海市,C 制造业,www.livzon.com.cn
514,渝 开 发,重庆渝开发股份有限公司,"CHONGQING YUKAIFA CO.,LTD",重庆市渝中区曾家岩1号附1号,514,渝 开 发,1993-07-12,767064514,767064514,,,,0,0,西南,重庆,重庆市,K 房地产,www.cqukf.com
516,开元投资,西安开元投资集团股份有限公司,XIAN KAIYUAN INVESTMENT GROUP COMPANY LIMITED,陕西省西安市东大街解放市场6号,516,开元投资,1993-08-09,713419721,703995176,,,,0,0,西北,陕西,西安市,F 批发零售,www.ky000516.com
517,荣安地产,荣安地产股份有限公司,Rongan Property Co.Ltd,浙江省宁波市海曙区灵桥路513号(14-12),517,荣安地产,1993-08-06,1061307495,222248445,,,,0,0,华东,浙江,宁波市,K 房地产,www.rongan.com.cn
518,四环生物,江苏四环生物股份有限公司,"JIANGSU SIHUAN BIOENGINEERING CO.,LTD",江苏省江阴市滨江开发区,518,四环生物,1993-09-08,1029556222,1029107630,,,,0,0,华东,江苏,无锡市,C 制造业,www.shsw.com.cn
519,江南红箭,湖南江南红箭股份有限公司,HUNAN JIANGNAN RED ARROW　CO.，LTD,湖南省湘潭国家高新技术产业开发区德国工业园莱茵路1号,519,江南红箭,1993-10-08,191153600,190397600,,,,0,0,华中,湖南,湘潭市,C 制造业,www.yhdle.com
520,*ST凤凰,长航凤凰股份有限公司,"CHANGHANG PHOENIX CO.,LTD",湖北省武汉市民权路39号汇江大厦,520,*ST凤凰,1993-10-25,674722303,669144645,,,,0,0,华中,湖北,武汉市,G 运输仓储,www.csc-hy.com.cn
521,美菱电器,合肥美菱股份有限公司,"HEFEI MEILING CO.,LTD",安徽省合肥市经济技术开发区莲花路2163号,521,美菱电器,1993-10-18,600875205,535545137,200521,皖美菱Ｂ,1996-08-28,162864000,162864000,华东,安徽,合肥市,C 制造业,www.meiling.com
523,广州浪奇,广州市浪奇实业股份有限公司,"LONKEY INDUSTRIAL CO.LTD., GUANGZHOU",广东省广州市天河区黄埔大道东128号,523,广州浪奇,1993-11-08,445163588,444975188,,,,0,0,华南,广东,广州市,C 制造业,www.lonkey.com.cn
524,东方宾馆,广州市东方宾馆股份有限公司,"GUANGZHOU DONGFANG HOTEL CO., LTD",广东省广州市流花路120号,524,东方宾馆,1993-11-18,269673744,269671562,,,,0,0,华南,广东,广州市,H 住宿餐饮,www.hoteldongfang.com
525,红 太 阳,南京红太阳股份有限公司,"NANJING RED SUN CO., LTD",江苏省南京市高淳县桠溪镇东风路8号,525,红 太 阳,1993-10-28,507246849,276420590,,,,0,0,华东,江苏,南京市,C 制造业,
526,银润投资,厦门银润投资股份有限公司,"XIAMEN INSIGHT INVESTMENT CO.,LTD.",福建省厦门市湖里区寨上长乐路1号,526,银润投资,1993-11-01,96195107,96195107,,,,0,0,华东,福建,厦门市,K 房地产,www.good-time.com.cn
527,美的电器,广东美的电器股份有限公司,"GUANGDONG MIDEA ELECTRIC APPLIANCES CO., LTD",广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,527,美的电器,1993-11-12,3384347650,3384346300,,,,0,0,华南,广东,佛山市,C 制造业,www.midea.com.cn
528,柳 工,广西柳工机械股份有限公司,"GUANGXI LIUGONG MACHINERY CO., LTD",广西壮族自治区柳州市柳太路1号,528,柳 工,1993-11-18,1125242136,1110226232,,,,0,0,华南,广西,柳州市,C 制造业,www.liugong.com
529,广弘控股,广东广弘控股股份有限公司,"GUANGDONG GUANGHONG HOLDINGS CO.,LTD",广东省广州市广州大道北520号,529,广弘控股,1993-11-18,583790330,565920080,,,,0,0,华南,广东,广州市,C 制造业,www.ghkg000529.com
530,大冷股份,大连冷冻机股份有限公司,"DALIAN REFRIGERATION CO., LTD",辽宁省大连市沙河口区西南路888号,530,大冷股份,1993-12-08,235014975,215679797,200530,大 冷Ｂ,1998-03-20,115000000,115000000,东北,辽宁,大连市,C 制造业,www.daleng.cn
531,穗恒运Ａ,广州恒运企业集团股份有限公司,"GUANGZHOU HENGYUN ENTERPRISES HOLDING CO.,LTD",广东省广州开发区开发大道235号恒运大厦6-6M层,531,穗恒运Ａ,1994-01-06,342541410,338197675,,,,0,0,华南,广东,广州市,D 水电煤气,www.hengyun.com.cn
532,力合股份,力合股份有限公司,"LIHE CO.,LTD",广东省珠海市香洲区唐家湾镇唐家大学路101号清华科技园创业大楼第六层东楼,532,力合股份,1994-01-03,344708340,342438346,,,,0,0,华南,广东,珠海市,S 综合,www.chinalihe.com
533,万 家 乐,广东万家乐股份有限公司,"GUANGDONG MACRO CO.,LTD",广东省佛山市顺德区大良街道顺峰山工业区,533,万 家 乐,1994-01-03,690816000,678692756,,,,0,0,华南,广东,佛山市,C 制造业,www.macro.com.cn
534,万泽股份,万泽实业股份有限公司,"WEDGE INDUSTRIAL CO.,LTD.",广东省汕头市珠池路23号光明大厦B幢8楼,534,万泽股份,1994-01-10,496552096,207460470,,,,0,0,华南,广东,汕头市,K 房地产,
536,华映科技,华映科技（集团）股份有限公司,"CPT TECHNOLOGY (GROUP) CO., LTD",福建省福州市马尾区儒江西路6号1#楼第三、四层,536,华映科技,1993-11-26,700493506,172124949,,,,0,0,华东,福建,福州市,C 制造业,www.cpttg.com
537,广宇发展,天津广宇发展股份有限公司,"TIANJIN GUANGYU DEVELOPMENT CO., LTD",天津经济技术开发区泰达中心（第三大街16号）,537,广宇发展,1993-12-10,512717581,512454283,,,,0,0,华北,天津,天津市,K 房地产,www.tjgy.sdln.sgcc.com.cn/
538,云南白药,云南白药集团股份有限公司,"YUNNAN BAIYAO GROUP CO.,LTD",云南省昆明市国家高新技术产业开发区,538,云南白药,1993-12-15,694266479,694243539,,,,0,0,西南,云南,昆明市,C 制造业,www.yunnanbaiyao.com.cn
539,粤电力Ａ,广东电力发展股份有限公司,"GUANGDONG ELECTRIC POWER DEVELOPMENT CO., LTD",广东省广州市天河东路2号粤电广场南塔23-26楼,539,粤电力Ａ,1993-11-26,3709896655,1989156748,200539,粤电力Ｂ,1995-06-28,665340000,665340000,华南,广东,广州市,D 水电煤气,www.ged.com.cn
540,中天城投,中天城投集团股份有限公司,Zhongtian Urban Development Group Company Limited,贵州省贵阳市中华中路1号峰会国际大厦,540,中天城投,1994-02-02,1278812292,1277913805,,,,0,0,西南,贵州,贵阳市,K 房地产,www.ztcn.cn
541,佛山照明,佛山电器照明股份有限公司,"FOSHAN ELECTRICAL AND LIGHTING CO., LTD",广东省佛山市禅城区汾江北路64号,541,佛山照明,1993-11-23,753338745,617118533,200541,粤照明Ｂ,1995-08-08,225225000,225221037,华南,广东,佛山市,C 制造业,www.Chinafsl.Com
543,皖能电力,安徽省皖能股份有限公司,"AN HUI WENERGY CO.,LTD",安徽省合肥市马鞍山路99号皖能大厦,543,皖能电力,1993-12-20,1053174105,773003883,,,,0,0,华东,安徽,合肥市,D 水电煤气,www.wenergy.cn
544,中原环保,中原环保股份有限公司,"ZHONGYUAN ENVIRONMENT PROTECTION CO.,LCD",河南省郑州市郑东新区商务外环路3号中华大厦13层,544,中原环保,1993-12-08,269459799,269459799,,,,0,0,华中,河南,郑州市,D 水电煤气,www.zhongyuanep.com
545,*ST吉药,吉林制药股份有限公司,"JILIN PHARMACEUTICAL CO., LTD",吉林省吉林市吉林经济技术开发区吉孤公路480号,545,*ST吉药,1993-12-15,158243632,116010082,,,,0,0,东北,吉林,吉林市,C 制造业,
546,光华控股,吉林光华控股集团股份有限公司,"JILIN GUANGHUA HOLDING GROUP CO.,LTD.",吉林省长春市西安大路727号中银大厦A座1701室,546,光华控股,1993-12-15,169506479,146238131,,,,0,0,东北,吉林,长春市,K 房地产,
547,闽福发Ａ,神州学人集团股份有限公司,"CHINASCHOLARS GROUP CO., LTD",福建省福州市台江区五一南路67号,547,闽福发Ａ,1993-11-30,834878240,661052737,,,,0,0,华东,福建,福州市,C 制造业,http://www.szxrjt.com
548,湖南投资,湖南投资集团股份有限公司,"HUNAN INVESTMENT GROUP CO.,LTD",湖南省长沙市天心区芙蓉中路508号之三君逸康年大酒店十二楼,548,湖南投资,1993-12-20,499215811,397794160,,,,0,0,华中,湖南,长沙市,G 运输仓储,www.hntz.com.cn
550,江铃汽车,江铃汽车股份有限公司,"JIANGLING MOTORS CO., LTD",江西省南昌市迎宾北大道509号,550,江铃汽车,1993-12-01,519214000,516672100,200550,江 铃Ｂ,1995-09-29,344000000,344000000,华东,江西,南昌市,C 制造业,www.jmc.com.cn
551,创元科技,创元科技股份有限公司,"CREATE TECHNOLOGY & SCIENCE CO.,LTD",江苏省苏州市高新区鹿山路35号,551,创元科技,1994-01-06,400080405,387354651,,,,0,0,华东,江苏,苏州市,S 综合,www.000551.cn
552,靖远煤电,甘肃靖远煤电股份有限公司,"GANSU JINGYUAN COAL INDUSTRY AND ELECTRICITY POWER CO., LTD.",甘肃省白银市平川区大桥路1号,552,靖远煤电,1994-01-06,718891268,354120750,,,,0,0,西北,甘肃,白银市,B 采矿业,
553,沙隆达Ａ,湖北沙隆达股份有限公司,"HUBEI SANONDA CO., LTD",湖北省荆州市北京东路93号,553,沙隆达Ａ,1993-12-03,363923220,363890168,200553,沙隆达Ｂ,1997-05-15,230000000,230000000,华中,湖北,荆州市,C 制造业,www.sanonda.cn
554,泰山石油,中国石化山东泰山石油股份有限公司,"SINOPEC SHANDONG TAISHAN PETROLEUM CO.,LTD.",山东省泰安市东岳大街104号,554,泰山石油,1993-12-15,480793318,362586041,,,,0,0,华东,山东,泰安市,F 批发零售,
555,*ST太光,深圳市太光电信股份有限公司,"SHENZHEN TECHO TELECOM CO., LTD.",广东省深圳市福田区滨河路北与彩田路东联合广场A座3608室,555,*ST太光,1994-04-08,90627680,90627680,,,,0,0,华南,广东,深圳市,C 制造业,
557,*ST广夏,广夏(银川)实业股份有限公司,"GUANGXIA(YINCHUAN) INDUSTRY CO., LTD",宁夏回族自治区银川市北京中路168号C座一楼,557,*ST广夏,1994-06-17,686133996,659596804,,,,0,0,西北,宁夏,银川市,C 制造业,
558,莱茵置业,莱茵达置业股份有限公司,"LANDER REAL ESTATE CO.,LTD",浙江省杭州市文三路535号莱茵达大厦,558,莱茵置业,1994-05-09,630269150,629653275,,,,0,0,华东,浙江,杭州市,K 房地产,www.lander.com.cn
559,万向钱潮,万向钱潮股份有限公司,"WANXIANG QIANCHAO CO.,LTD",浙江省杭州市萧山区万向路,559,万向钱潮,1994-01-10,1593263574,1590127346,,,,0,0,华东,浙江,杭州市,C 制造业,www.wxqc.com.cn
